Modalidade;FonteFinanciamento;Repasse;Porcentagem
ENSINO A DISTANCIA;BOLSA FORMAÇÃO - EJA EPT;EAD;0.25
ENSINO A DISTANCIA;BOLSA FORMAÇÃO - OUTROS;EAD;0.25
ENSINO A DISTANCIA;E-TEC;EAD;0.25
ENSINO A DISTANCIA;MEDIOTEC;EAD;0.25
ENSINO A DISTANCIA;MOOC - APRENDA MAIS;EAD MOOC;0.08
ENSINO A DISTANCIA;MOOC - OUTROS;EAD MOOC;0.08
ENSINO A DISTANCIA;OUTROS PROGRAMAS;EAD;0.25
ENSINO A DISTANCIA;PROEJA;EAD;0.25
ENSINO A DISTANCIA;SEM PROGRAMA ASSOCIADO;EAD FP;0.8
ENSINO A DISTANCIA;UAB (UNIVERSIDADE ABERTA DO BRASIL);EAD;0.25
ENSINO PRESENCIAL;BOLSA FORMAÇÃO - BIOECONOMIA;PRESENCIAL;1
ENSINO PRESENCIAL;BOLSA FORMAÇÃO - EJA EPT;PRESENCIAL;1
ENSINO PRESENCIAL;BOLSA FORMAÇÃO - EMPREENDER;PRESENCIAL;1
ENSINO PRESENCIAL;BOLSA FORMAÇÃO - ENERGIFE;PRESENCIAL;1
ENSINO PRESENCIAL;BOLSA FORMAÇÃO - MULHERES MIL;PRESENCIAL;1
ENSINO PRESENCIAL;BOLSA FORMAÇÃO - OUTROS;PRESENCIAL;1
ENSINO PRESENCIAL;E-TEC;PRESENCIAL;1
ENSINO PRESENCIAL;MEDIOTEC;PRESENCIAL;1
ENSINO PRESENCIAL;OUTROS PROGRAMAS;PRESENCIAL;1
ENSINO PRESENCIAL;PARTIUIF;PRESENCIAL;1
ENSINO PRESENCIAL;PROEJA;PRESENCIAL;1
ENSINO PRESENCIAL;PROGRAMA EJA INTEGRADA – EPT (SEB/MEC);PRESENCIAL;1
ENSINO PRESENCIAL;PROGRAMA EJA INTEGRADA - EPT (SECADI/MEC);PRESENCIAL;1
ENSINO PRESENCIAL;PROJOVEM;PRESENCIAL;1
ENSINO PRESENCIAL;SEM PROGRAMA ASSOCIADO;PRESENCIAL;1
